根据startDate和endDate计算workingDays, calculateWorkingDays
建立 namespace 上下文,setNamespaceContext  
获取与此文档关联的数据,get data  
若允许焦点离开引导步骤支撑片段起始边缘返回 true，否则 false,is focus out start allowed  
返回节点是否源自对 accessibility 重要的视图,is important for accessibility  
当 file:// URI 暴露在应用外时进程崩溃,penalty death on file uri exposure  
从声音 ID 卸载声音,unload  
返回实现此设备管理的 receiver 组件,get component  
返回表示虚拟视图的 accessibility node info,create accessibility node info  
检查是否支持指定字段,isSupported  
获取 multiply kernel ID,get kernel idm ultiply  
获取与此对象关联的 accessible selection,getAccessibleSelection  
返回给定 keyCode 与修饰符的共享 KeyStroke 实例,getKeyStroke  
通知监听器正从 SSLSession 解除绑定,valueUnbound  
将 velocity tracker 重置为初始状态,clear  
通知宿主应用 Apple-touch-icon URL,on received touch icon url  
已弃用，请使用 onSupportContentChanged,on support content changed  
将迭代器设为第一个边界位置,first  
将给定 intent monitor 实例注册到注册表,register instance  
返回 USB 设备名称（与 getDeviceName 相同）,get device name  
由设备所有者请求错误报告,request bugreport  
当嵌套滚动子项开始 fling 时调用,on nested fling  
返回刚发送短信的消息引用,get message ref  
若容量允许立即插入指定元素则返回 true，否则抛 IllegalStateException,add  
已过时，无替代品,releaseInputStream  
判断 IPC 调用进程或你是否被授予访问指定 URI 的权限,check calling or self uri permission  
若集合不包含给定字符串任何字符则返回 true,contains none  
冻结对象,freeze  
返回给定 enclosing 类型中成员类型的实际参数化类型,getDeclaredType  
设置弹出菜单可见性,setVisible  
设置要对齐的视图 ID,set item alignment view id  
更改附加到此通知的完整操作列表,set actions  
若 key listener 想处理 key release 返回 true，否则 false,on key up  
启动并显示对话框,show  
设置 3×3 卷积输入,set input  
更新现有配置网络的描述,update network  
设置 MediaController 以接收媒体键和音量更改,set media controller  
返回九段图固有高度（像素）,get height  
检索索引处属性字符串值,get string  
设置此 CursorWindow 起始位置,set start position  
ICC profile 颜色空间类型 'ACLR',icSigSpaceACLR  
返回用于定位单词边界的新 BreakIterator 实例,get word instance  
返回此 Path 表示的文件或目录名称,getFileName  
创建 Manager 实例,new instance  
启用或禁用拍照默认快门声,enable shutter sound  
当用户向下滚动页面时隐藏 URL 栏,enable url bar hiding  
csyr2k 执行对称 rank-2k 运算,csyr 2 k  
底部工作表状态改变时调用,on state changed  
处理媒体会话兼容 extras 变更,on extras changed  
克隆整理器,clone  
聚焦视图及其祖先响应箭头键的最后机会,dispatch unhandled move  
设置播放器音量,set volume  
与文本过滤器关联的文本观察者,after text changed  
获取此 URI 的 scheme-specific 部分,get encoded scheme specific part  
合成两种可能半透明颜色并返回结果,composite colors  
返回原始地址或邮件网关时的发件人地址,get display originating address  
返回此资产条目数据的起始字节偏移量,get start offset  
将此图形上下文的字体设为指定字体,setFont  
相对于 DOM 客户端区域的 X 坐标,getClientX  
返回等待接收元素的消费者估计数,getWaitingConsumerCount  
返回此视图在垂直方向占用的空间（含装饰和边距）,get decorated measurement in other  
更改弹出窗口内容,set content view  
返回给定 locale 的时区格式冻结实例,get instance  
获取标签,get label  
销毁 WebView 内部状态,destroy  
返回集合中键的索引,index of key  
获取组标识符级别 2,get gid 2  
从指定 XML 文件 inflate 视图,new view  
获取显示器状态（开/关）,get state  
从 intent 获取 boolean extra,get boolean extra  
将能力要求添加到此构建器,add capability  
处理应用小部件远程视图更新,update app widget  
ICC profile tag 'psd1',icSigPs2CRD1Tag  
RecyclerView 子项绘制的默认实现,on draw  
返回用于处理的 UnicodeSet,get unicode set  
设置内容可用性状态,set status  
返回进度最小值,getMinimum  
指定任务延迟执行时间,set minimum latency  
转换文本中的数字,shape  
无障碍服务本地化描述,load description  
发送字符键事件的同步方法,send character sync  
提取编辑器全屏模式变更时调用,on update extracting views  
空闲超时时调用,handle timeout  
如需保存片段状态则返回 true,on should save fragment state  
返回音频会话 ID,get audio session id  
设置呼叫者显示名称,set caller display name  
返回此 ZonedDateTime 副本并修改秒,withSecond  
将轮廓偏移 (dx, dy),offset  
接收 SAX 文档定位器,setDocumentLocator  
判断此色调映射曲线是否等于另一条,equals  
返回短面包屑标题（若无返回 null）,get bread crumb short title  
设置内容可用性状态,set status  
解析 XML 字符串并触发事件,parse  
平滑滚动停止时调用,on stop  
获取已提交文本插入位置的 offset,getInsertPositionOffset  
设置 drawable 热点,set hotspot  
获取 RecyclerView 单项辅助功能委托,get item delegate  
已弃用，将在未来版本移除,toString  
dsymv 执行矩阵-向量运算 y := α·A·x+β·y,dsymv  
以 Timestamp 形式检索 JDBC TIMESTAMP 参数,getTimestamp  
设置下拉列表 gravity,set drop down gravity  
向 VideoProvider 提供暂停时显示的图像 URI,on set pause image  
已弃用，请使用 icon resource id,icon resource id  
指示标签是否可设为只读,can make read only  
更新会话中安装应用的标签,update session app label  
返回第一个具有给定图标的 tab 索引（若无返回 -1）,indexOfTab  
序列当前元素,getValue  
返回 X 方向 tile 数量,getNumXtIles  
将下一个属性作为 Timestamp 写入流,writeTimestamp  
重新配置 bitmap 的 width、height 与 config,reconfigure  
支持库版本获取 ActionBar,get support action bar  
返回此部分类型,get type  
详情行主项目变更时调用,on item changed  
添加裁剪区域属性后传递源对象属性,setProperties  
返回父级文本方向,get text direction  
返回嵌套滚动当前轴,get nested scroll axes  
返回文本字段首选尺寸,getPreferredSize  
ICC profile 颜色空间类型 'XYZ',icSigXYZData  
ICC profile tag 'vued',icSigViewingCondDescTag  
以适当顺序返回包含所有元素的数组,toArray  
硬件键分派到视图时调用,on key  
将 MediaSessionCompat token 附加到通知,set media session  
返回当前规则,get rules  
返回 arg/msg 限制部分索引,get limit part index  
释放 Blob 对象及其资源,free  
设置最终不变的完整文本,set final recognized text  
设置菜单项并监听动作视图展开/折叠,set on action expand listener  
返回与此图像关联的 SampleModel,getSampleModel  
返回顶级类型的包及嵌套类型的封闭元素,getEnclosingElement  
返回所有选中列索引,getSelectedColumns  
绘制指定图像区域并动态缩放,drawImage  
判断此 buffer 是否为 direct,isDirect  
根据设计轴值创建多主字体,deriveMMFont  
返回线性插值结果,evaluate  
返回拥有此服务的应用,get application  
检索 MTP 对象信息,get object info  
定义是否绘制水平滚动条,set horizontal scroll bar enabled  
对指定音符的键压力变化作出反应,setPolyPressure  
使用指定旋转预连接矩阵,pre rotate  
返回文件所有者,owner  
启用或禁用标题,on set caption enabled  
收到警告通知,warning  
将 view 添加到 overlay,add  
返回下一个 int 元素,nextInt  
便捷获取安全设置 float 值,get float  
返回当前运行上下文,get context  
返回所有当前选中行索引,getSelectionRows  
返回端点地址字段,get address  
返回指定行水平滚动最右位置,get line right  
模拟轻触视图中心,tap view  
返回此颜色模型颜色分量数量,getNumColorComponents  
使用指定查询对当前年月查询,query  
获取屏幕上合成文本指定坐标的 offset,getLocationOffset  
检查硬件是否有振动器,has vibrator  
键分派到对话框时调用,on key  
返回指定字符串边界,getStringBounds  
设置子视图对齐方式,set gravity  
设置按钮选中状态,setSelected  
ICC profile tag 'pre0',icSigPreview0Tag  
获取会话 token（未创建/销毁时返回 null）,get session token  
获取解析相对 URL 的基础 ID,getSystemId  
