Functional Description,Method Name
设置片段标题中显示的可绘制对象,set badge drawable
交换新光标，返回旧光标,swap cursor
返回浮动操作按钮的背景，减去任何兼容的阴影实现,get content background
返回通过焦点形成正在进行的手势的每个指针之间的平均距离,get current span
将给定类的测试添加到套件中,add test suite
返回给定输入区域设置的相应输入方法的用户可见名称，以显示名称的语言显示,getInputMethodDisplayName
表示应用程序已完成使用变送器，并且可能会释放或提供所需的有限资源。,close
获取设备列表,get device list
与 char 序列之前的代码点相同，int,code point before
当视图层次结构与窗口分离时要调用的回调方法,on window detached
此方法已被弃用。操作栏导航模式已被弃用，并且内联工具栏操作栏不支持操作栏导航模式。考虑使用其他常见的导航模式,new tab
将图像压缩为 etc1 纹理的辅助函数,compress texture
键入键时调用。,menuKeyTyped
返回此通配符的上限。,getExtendsBound
如果用户可单击该节点，则返回 true,is clickable
提供定义引导操作列表的宿主视图的布局的资源 ID,on provide layout id
返回缓冲图像的宽度,getWidth
将按钮设置为按下或未按下。,setPressed
从应用程序包的默认字符串表返回本地化字符串,get string
报告请求的最终选项选择，完成请求并导致调用语音交互器。pick option request.on pick option result，其中 false 表示完成,send pick option result
ICC Profile Tag签名：'head' - 特别。,icSigHead
返回显示扩展操作的子操作列表的垂直网格视图,get sub actions grid view
系统标识符，此参考源的URI参考[ IETF RFC 2396 ]。,setSystemId
用于从包裹中读取信使或空指针的便捷函数,read messenger or null from parcel
通知父视图其后代之一的可访问状态已更改并且子树的结构不同,notify subtree accessibility state changed
设置大写字符是否在小写字符之前排序，反之亦然（在强度三级中）,set upper case first
获取此打印作业是否失败,is failed
删除布局更改的侦听器,remove on layout change listener
要求该视图的子视图之一测量自身，同时考虑该视图的测量规范要求及其填充和边距。,measure child with margins
当由启动语音活动 android.content.intent 启动的任务实际启动时调用,on task started
返回特定流的当前静音状态,is stream mute
此方法将导致视图的scaley属性按照指定的值进行动画处理,scale yb y
当添加更多呼叫的能力发生变化时调用,on can add call changed
设置电话号码格式,format number
如果支持指定的唤醒锁级别，则返回 true,is wake lock level supported
检查此年月是否在指定的年月之后。,isAfter
从底层集合中移除此迭代器返回的最后一个元素（可选操作）。,remove
相当于：specstart，1，重量,spec
调用以在此上下文上设置“覆盖配置”，这是一种配置，它会回复应用于该上下文的标准配置的一个或多个值,apply override configuration
调度通用运动事件,dispatch generic motion event
当目标输入字段的光标位置在其窗口内发生更改时调用此方法,update cursor
如果边框绘制属性为true，则绘制菜单栏的边框,paintBorder
这应该从布局充气器工厂调用，以便返回色调感知的小部件,create view
设置用于表示无穷大的字符串,set infinity
设置起始标题边距（以像素为单位）,set title margin start
获取该节点是否启用,is enabled
调用此函数尝试将焦点集中到特定视图或其子视图之一，并给出有关焦点来源的方向和特定矩形的提示。寻找一个视图来给予焦点以尊重由获取后代可聚焦性指定的设置,request focus
当窗口从正常状态更改为最小化状态时调用。,windowIconified
与平移变换连接当前graphics2d变换,translate
返回定位 系统模块的模块查找器。,ofSystem
设置 arg 用户名参数,set username
将新的网络描述添加到已配置的网络集中,add network
返回给定位置的项目,get
清除资源缓存,clear cache
将可绘制资源设置为该打印机的图标,set icon resource id
注册一个侦听器，当输入图像返回到图像编写器时调用,set on image released listener
设置该节点的错误文本,set error
等待指定的时间长度以使视图变得可见,wait for exists
调用以确定是否应隐藏标头列表,on is hiding headers
覆盖以处理快进请求,on fast forward
注册一个回调，在视图树即将绘制时调用,add on pre draw listener
在给定视图持有者上启动移动动画时调用,on move starting
获取支持的分辨率,get resolutions
创建一个新的打印文档信息实例,build
指示是否按下按钮。,isPressed
返回一个缓存实例（如果可用）或实例化一个新实例,obtain
如果调用者有权限，则为给定的应用程序小部件 ID 设置提供程序,bind app widget id if allowed
已过时。,endElement
告诉编辑器您已完成先前通过开始批量编辑启动的批量编辑,end batch edit
返回彩信用户代理配置文件 URL,get mms uap rof url
指示此上下文是否受限制,is restricted
返回当前文档事件结束的字符位置。,getColumnNumber
如果正在添加JButton，则它最初被设置为禁用状态,addImpl
允许用户退出当前任务,stop lock task
返回媒体项目的持续时间（以毫秒为单位）,get media duration
从回收者视图中删除项目时调用,animate remove
从此集合中删除所有元素（可选操作）。,clear
为底层动画器设置插值器，该动画器对请求的属性进行动画处理,set interpolator
已过时。,initialize
将大数字设置在通知的右侧,set number
指示该有理数是否表示无限值,is infinite
脸部的边界,get bounds
当您的活动完成并应该关闭时调用此方法,finish
将指定参数设置为给定的 java.sql.Timestamp值。,setTimestamp
如果您预见到基于此方案的 ids 发生冲突，请覆盖此方法：基本实现返回一个 long ：位 0：此 id 是否指向未设置的子项或组集，因此对于此方法，此位将为 0,get combined group id
返回创建时间。,creationTime
如果获取文本非空，则这是当前选择的开始位置,get text selection end
重命名指定帐户,rename account
验证此日历的单个字段,validate field
将与此 Result关联的 TransformerHandler设置为用于转换。,setResult
访问注释中的类型值。,visitType
返回此规则的创建时间，表示为自纪元以来的毫秒数,get creation time
返回提供的服务。,getService
设置图标的描述。,setAccessibleIconDescription
返回以帧表示的播放头位置,get playback head position
如果启用左边缘淡入淡出，则返回 true,get fading left edge
更新浮动操作按钮的向后兼容高度,set compat elevation
将此 RowSet对象命令中的指定参数设置为给定的Java float值。,setFloat
在要求退出应用程序时调用。,handleQuitRequestWith
由视图组子类调用以从自身删除子视图，此时它必须首先知道其在屏幕上的大小，然后才能计算将呈现多少个子视图,remove all views in layout
当回收器视图的后代视图请求焦点时调用,on request child focus
检索并删除此双端队列的第一个元素，如果元素可用，则等待指定的等待时间。,pollFirst
